player,goals,assists,rating,minutes,match_id,date,performed,,,,,,,,
stephy mavididi,0,0,6.7,11,1208030,19-08-2024,0,,,,,,,,
kasey mcateer,0,0,7,14,1208030,19-08-2024,1,,,,,,,,
danny ward,0,0,0,0,1208030,19-08-2024,0,,,,,,,,
caleb okoli,0,0,0,0,1208030,19-08-2024,0,,,,,,,,
benjamin nelson,0,0,0,0,1208030,19-08-2024,0,,,,,,,,
ricardo pereira,0,0,0,0,1208030,19-08-2024,0,,,,,,,,
hamza choudhury,0,0,0,0,1208030,19-08-2024,0,,,,,,,,
thomas cannon,0,0,0,0,1208030,19-08-2024,0,,,,,,,,
guglielmo vicario,0,0,7.3,90,1208030,19-08-2024,1,,,,,,,,
pedro porro,1,0,7.9,89,1208030,19-08-2024,1,,,,,,,,
cristian romero,0,0,7.3,90,1208030,19-08-2024,1,,,,,,,,
micky van de ven,0,0,7.2,90,1208030,19-08-2024,1,,,,,,,,
destiny udogie,0,0,6.9,90,1208030,19-08-2024,0,,,,,,,,
pape matar sarr,0,0,6.9,78,1208030,19-08-2024,0,,,,,,,,
rodrigo bentancur,0,0,7,78,1208030,19-08-2024,1,,,,,,,,
james maddison,0,1,7.9,79,1208030,19-08-2024,1,,,,,,,,
brennan johnson,0,0,7.5,78,1208030,19-08-2024,1,,,,,,,,
dominic solanke,0,0,7.3,90,1208030,19-08-2024,1,,,,,,,,
heung-min son,0,0,7.2,89,1208030,19-08-2024,1,,,,,,,,
archie gray,0,0,6.6,12,1208030,19-08-2024,0,,,,,,,,
timo werner,0,0,6.3,12,1208030,19-08-2024,0,,,,,,,,
lucas bergvall,0,0,7.5,12,1208030,19-08-2024,1,,,,,,,,
dejan kulusevski,0,0,6.6,11,1208030,19-08-2024,0,,,,,,,,
djed spence,0,0,6.3,8,1208030,19-08-2024,0,,,,,,,,
richarlison,0,0,6.2,8,1208030,19-08-2024,0,,,,,,,,
brandon austin,0,0,0,0,1208030,19-08-2024,0,,,,,,,,
ben davies,0,0,0,0,1208030,19-08-2024,0,,,,,,,,
radu drăguşin,0,0,0,0,1208030,19-08-2024,0,,,,,,,,
andré onana,0,0,7.2,90,1208021,16-08-2024,1,,,,,,,,
noussair mazraoui,0,0,7.5,81,1208021,16-08-2024,1,,,,,,,,
harry maguire,0,0,7.3,81,1208021,16-08-2024,1,,,,,,,,
lisandro martínez,0,0,7.2,90,1208021,16-08-2024,1,,,,,,,,
diogo dalot,0,0,7.3,90,1208021,16-08-2024,1,,,,,,,,
casemiro,0,0,8.5,90,1208021,16-08-2024,1,,,,,,,,
kobbie mainoo,0,0,7.7,84,1208021,16-08-2024,1,,,,,,,,
amad diallo,0,0,7.2,61,1208021,16-08-2024,1,,,,,,,,
mason mount,0,0,6.5,61,1208021,16-08-2024,0,,,,,,,,
marcus rashford,0,0,6.6,90,1208021,16-08-2024,0,,,,,,,,
bruno fernandes,0,0,6.6,90,1208021,16-08-2024,0,,,,,,,,
alejandro garnacho,0,1,6.6,29,1208021,16-08-2024,1,,,,,,,,
joshua zirkzee,1,0,7.3,29,1208021,16-08-2024,1,,,,,,,,
matthijs de ligt,0,0,6.3,9,1208021,16-08-2024,0,,,,,,,,
jonny evans,0,0,6.7,9,1208021,16-08-2024,0,,,,,,,,
scott mctominay,0,0,6.7,11,1208021,16-08-2024,0,,,,,,,,
altay bayındır,0,0,0,0,1208021,16-08-2024,0,,,,,,,,
antony,0,0,0,0,1208021,16-08-2024,0,,,,,,,,
toby collyer,0,0,0,0,1208021,16-08-2024,0,,,,,,,,
christian eriksen,0,0,0,0,1208021,16-08-2024,0,,,,,,,,
bernd leno,0,0,6.9,90,1208021,16-08-2024,0,,,,,,,,
kenny tete,0,0,7,90,1208021,16-08-2024,1,,,,,,,,
issa diop,0,0,7.3,90,1208021,16-08-2024,1,,,,,,,,
calvin bassey,0,0,6.3,90,1208021,16-08-2024,0,,,,,,,,
antonee robinson,0,0,7.2,90,1208021,16-08-2024,1,,,,,,,,
andreas pereira,0,0,7.2,89,1208021,16-08-2024,1,,,,,,,,
saša lukić,0,0,6.9,89,1208021,16-08-2024,0,,,,,,,,
adama traoré,0,0,6.7,78,1208021,16-08-2024,0,,,,,,,,
emile smith rowe,0,0,6.9,64,1208021,16-08-2024,0,,,,,,,,
alex iwobi,0,0,6.3,90,1208021,16-08-2024,0,,,,,,,,
rodrigo muniz,0,0,7,78,1208021,16-08-2024,1,,,,,,,,
tom cairney,0,0,6.6,26,1208021,16-08-2024,0,,,,,,,,
harry wilson,0,0,6.7,12,1208021,16-08-2024,0,,,,,,,,
raúl jiménez,0,0,6.3,12,1208021,16-08-2024,0,,,,,,,,
harrison reed,0,0,0,1,1208021,16-08-2024,0,,,,,,,,
jay stansfield,0,0,0,1,1208021,16-08-2024,0,,,,,,,,
steven benda,0,0,0,0,1208021,16-08-2024,0,,,,,,,,
jorge cuenca,0,0,0,0,1208021,16-08-2024,0,,,,,,,,
timothy castagne,0,0,0,0,1208021,16-08-2024,0,,,,,,,,
joshua king,0,0,0,0,1208021,16-08-2024,0,,,,,,,,
christian walton,0,0,6.9,90,1208022,17-08-2024,0,,,,,,,,
axel tuanzebe,0,0,6.3,74,1208022,17-08-2024,0,,,,,,,,
luke woolfenden,0,0,7,90,1208022,17-08-2024,1,,,,,,,,
jacob greaves,0,0,7.3,90,1208022,17-08-2024,1,,,,,,,,
leif davis,0,0,6.7,90,1208022,17-08-2024,0,,,,,,,,
sam morsy,0,0,6.9,90,1208022,17-08-2024,0,,,,,,,,
massimo luongo,0,0,6.9,65,1208022,17-08-2024,0,,,,,,,,
wes burns,0,0,6.5,57,1208022,17-08-2024,0,,,,,,,,
conor chaplin,0,0,6.9,65,1208022,17-08-2024,0,,,,,,,,
omari hutchinson,0,0,6.9,90,1208022,17-08-2024,0,,,,,,,,
liam delap,0,0,6.7,74,1208022,17-08-2024,0,,,,,,,,
ben johnson,0,0,6.5,33,1208022,17-08-2024,0,,,,,,,,
jack taylor,0,0,6.3,25,1208022,17-08-2024,0,,,,,,,,
marcus harness,0,0,6.2,25,1208022,17-08-2024,0,,,,,,,,
sammie szmodics,0,0,6.7,16,1208022,17-08-2024,0,,,,,,,,
ali al-hamadi,0,0,6.7,16,1208022,17-08-2024,0,,,,,,,,
cieran slicker,0,0,0,0,1208022,17-08-2024,0,,,,,,,,
conor townsend,0,0,0,0,1208022,17-08-2024,0,,,,,,,,
cameron burgess,0,0,0,0,1208022,17-08-2024,0,,,,,,,,
kalvin phillips,0,0,0,0,1208022,17-08-2024,0,,,,,,,,
alisson,0,0,7.2,90,1208022,17-08-2024,1,,,,,,,,
trent alexander-arnold,0,0,7.6,77,1208022,17-08-2024,1,,,,,,,,
jarell quansah,0,0,7.2,45,1208022,17-08-2024,1,,,,,,,,
virgil van dijk,0,0,7,90,1208022,17-08-2024,1,,,,,,,,
andrew robertson,0,0,6.9,79,1208022,17-08-2024,0,,,,,,,,
ryan gravenberch,0,0,7.3,90,1208022,17-08-2024,1,,,,,,,,
alexis mac allister,0,0,6.7,90,1208022,17-08-2024,0,,,,,,,,
mohamed salah,1,1,8.2,90,1208022,17-08-2024,1,,,,,,,,
dominik szoboszlai,0,0,7.9,90,1208022,17-08-2024,1,,,,,,,,
luis díaz,0,0,7.7,90,1208022,17-08-2024,1,,,,,,,,
diogo jota,1,0,7.3,79,1208022,17-08-2024,1,,,,,,,,
ibrahima konaté,0,0,7,45,1208022,17-08-2024,1,,,,,,,,
conor bradley,0,0,6.9,13,1208022,17-08-2024,0,,,,,,,,
konstantinos tsimikas,0,0,6.7,11,1208022,17-08-2024,0,,,,,,,,
cody gakpo,0,0,6.7,11,1208022,17-08-2024,0,,,,,,,,
caoimhin kelleher,0,0,0,0,1208022,17-08-2024,0,,,,,,,,
harvey elliott,0,0,0,0,1208022,17-08-2024,0,,,,,,,,
curtis jones,0,0,0,0,1208022,17-08-2024,0,,,,,,,,
wataru endo,0,0,0,0,1208022,17-08-2024,0,,,,,,,,
darwin núñez,0,0,0,0,1208022,17-08-2024,0,,,,,,,,
nick pope,0,0,7.2,90,1208025,17-08-2024,1,,,,,,,,
valentino livramento,0,0,7.2,90,1208025,17-08-2024,1,,,,,,,,
fabian schär,0,0,4.9,28,1208025,17-08-2024,0,,,,,,,,
dan burn,0,0,6.9,90,1208025,17-08-2024,0,,,,,,,,
lewis hall,0,0,7.3,70,1208025,17-08-2024,1,,,,,,,,
sean longstaff,0,0,6.9,90,1208025,17-08-2024,0,,,,,,,,
bruno guimarães,0,0,7.5,90,1208025,17-08-2024,1,,,,,,,,
joelinton,1,0,7.9,90,1208025,17-08-2024,1,,,,,,,,
jacob murphy,0,0,6.9,30,1208025,17-08-2024,0,,,,,,,,
alexander isak,0,1,7.3,90,1208025,17-08-2024,1,,,,,,,,
anthony gordon,0,0,6.9,70,1208025,17-08-2024,0,,,,,,,,
emil krafth,0,0,7,60,1208025,17-08-2024,1,,,,,,,,
lloyd kelly,0,0,6.6,20,1208025,17-08-2024,0,,,,,,,,
harvey barnes,0,0,6.2,20,1208025,17-08-2024,0,,,,,,,,
martin dúbravka,0,0,0,0,1208025,17-08-2024,0,,,,,,,,
matt targett,0,0,0,0,1208025,17-08-2024,0,,,,,,,,
kieran trippier,0,0,0,0,1208025,17-08-2024,0,,,,,,,,
joe willock,0,0,0,0,1208025,17-08-2024,0,,,,,,,,
william osula,0,0,0,0,1208025,17-08-2024,0,,,,,,,,
miguel almirón,0,0,0,0,1208025,17-08-2024,0,,,,,,,,
alex mccarthy,0,0,6.3,90,1208025,17-08-2024,0,,,,,,,,
taylor harwood-bellis,0,0,7,90,1208025,17-08-2024,1,,,,,,,,
jan bednarek,0,0,7.3,81,1208025,17-08-2024,1,,,,,,,,
jack stephens,0,0,6.9,90,1208025,17-08-2024,0,,,,,,,,
yukinari sugawara,0,0,7,45,1208025,17-08-2024,1,,,,,,,,
will smallbone,0,0,7.3,90,1208025,17-08-2024,1,,,,,,,,
flynn downes,0,0,7.3,90,1208025,17-08-2024,1,,,,,,,,
joe aribo,0,0,7.3,70,1208025,17-08-2024,1,,,,,,,,
kyle walker-peters,0,0,7,81,1208025,17-08-2024,1,,,,,,,,
adam armstrong,0,0,6.6,90,1208025,17-08-2024,0,,,,,,,,
ben brereton díaz,0,0,6.2,71,1208025,17-08-2024,0,,,,,,,,
samuel edozie,0,0,6.9,45,1208025,17-08-2024,0,,,,,,,,
tyler dibling,0,0,6.9,20,1208025,17-08-2024,0,,,,,,,,
cameron archer,0,0,6.9,19,1208025,17-08-2024,0,,,,,,,,
samuel amo-ameyaw,0,0,6.6,9,1208025,17-08-2024,0,,,,,,,,
carlos alcaraz,0,0,6.9,9,1208025,17-08-2024,0,,,,,,,,
joe lumley,0,0,0,0,1208025,17-08-2024,0,,,,,,,,
charlie taylor,0,0,0,0,1208025,17-08-2024,0,,,,,,,,
james bree,0,0,0,0,1208025,17-08-2024,0,,,,,,,,
nathan wood,0,0,0,0,1208025,17-08-2024,0,,,,,,,,
david raya,0,0,7.7,90,1208023,17-08-2024,1,,,,,,,,
benjamin white,0,0,6.9,90,1208023,17-08-2024,0,,,,,,,,
william saliba,0,0,7,90,1208023,17-08-2024,1,,,,,,,,
gabriel magalhães,0,0,7.3,90,1208023,17-08-2024,1,,,,,,,,
oleksandr zinchenko,0,0,7,69,1208023,17-08-2024,1,,,,,,,,
martin ødegaard,0,0,7.3,90,1208023,17-08-2024,1,,,,,,,,
thomas partey,0,0,7.2,90,1208023,17-08-2024,1,,,,,,,,
declan rice,0,0,7.2,85,1208023,17-08-2024,1,,,,,,,,
bukayo saka,1,1,8.9,80,1208023,17-08-2024,1,,,,,,,,
kai havertz,1,1,8.2,90,1208023,17-08-2024,1,,,,,,,,
gabriel martinelli,0,0,7.3,90,1208023,17-08-2024,1,,,,,,,,
jurriën timber,0,0,6.5,21,1208023,17-08-2024,0,,,,,,,,
leandro trossard,0,0,6.7,10,1208023,17-08-2024,0,,,,,,,,
gabriel jesus,0,0,6.3,11,1208023,17-08-2024,0,,,,,,,,
aaron ramsdale,0,0,0,0,1208023,17-08-2024,0,,,,,,,,
riccardo calafiori,0,0,0,0,1208023,17-08-2024,0,,,,,,,,
jorginho,0,0,0,0,1208023,17-08-2024,0,,,,,,,,
ethan nwaneri,0,0,0,0,1208023,17-08-2024,0,,,,,,,,
reiss nelson,0,0,0,0,1208023,17-08-2024,0,,,,,,,,
edward nketiah,0,0,0,0,1208023,17-08-2024,0,,,,,,,,
josé sá,0,0,7.2,90,1208023,17-08-2024,1,,,,,,,,
matt doherty,0,0,7,90,1208023,17-08-2024,1,,,,,,,,
yerson mosquera,0,0,6.9,90,1208023,17-08-2024,0,,,,,,,,
toti gomes,0,0,6.3,90,1208023,17-08-2024,0,,,,,,,,
rayan aït nouri,0,0,6.3,84,1208023,17-08-2024,0,,,,,,,,
joão gomes,0,0,6.7,84,1208023,17-08-2024,0,,,,,,,,
mario lemina,0,0,7.2,90,1208023,17-08-2024,1,,,,,,,,
hee-chan hwang,0,0,6.6,90,1208023,17-08-2024,0,,,,,,,,
jean-ricner bellegarde,0,0,6.5,57,1208023,17-08-2024,0,,,,,,,,
rodrigo gomes,0,0,6.7,75,1208023,17-08-2024,0,,,,,,,,
jørgen strand larsen,0,0,6.2,84,1208023,17-08-2024,0,,,,,,,,
matheus cunha,0,0,7.2,33,1208023,17-08-2024,1,,,,,,,,
daniel podence,0,0,6.3,15,1208023,17-08-2024,0,,,,,,,,
craig dawson,0,0,6.3,12,1208023,17-08-2024,0,,,,,,,,
chiquinho,0,0,6.7,12,1208023,17-08-2024,0,,,,,,,,
pablo sarabia,0,0,6.9,12,1208023,17-08-2024,0,,,,,,,,
daniel bentley,0,0,0,0,1208023,17-08-2024,0,,,,,,,,
santiago bueno,0,0,0,0,1208023,17-08-2024,0,,,,,,,,
tommy doyle,0,0,0,0,1208023,17-08-2024,0,,,,,,,,
gonçalo guedes,0,0,0,0,1208023,17-08-2024,0,,,,,,,,
jordan pickford,0,0,7,90,1208024,17-08-2024,1,,,,,,,,
ashley young,0,0,6,66,1208024,17-08-2024,0,,,,,,,,
james tarkowski,0,0,6.9,90,1208024,17-08-2024,0,,,,,,,,
michael keane,0,0,6.9,90,1208024,17-08-2024,0,,,,,,,,
vitaliy mykolenko,0,0,6,90,1208024,17-08-2024,0,,,,,,,,
tim iroegbunam,0,0,6.9,90,1208024,17-08-2024,0,,,,,,,,
idrissa gueye,0,0,6.5,90,1208024,17-08-2024,0,,,,,,,,
jack harrison,0,0,6.6,85,1208024,17-08-2024,0,,,,,,,,
abdoulaye doucouré,0,0,6.3,63,1208024,17-08-2024,0,,,,,,,,
dwight mcneil,0,0,6.3,90,1208024,17-08-2024,0,,,,,,,,
dominic calvert-lewin,0,0,6.6,76,1208024,17-08-2024,0,,,,,,,,
iliman ndiaye,0,0,6.3,27,1208024,17-08-2024,0,,,,,,,,
beto,0,0,6.2,14,1208024,17-08-2024,0,,,,,,,,
mason holgate,0,0,6.3,16,1208024,17-08-2024,0,,,,,,,,
joão virgínia,0,0,0,0,1208024,17-08-2024,0,,,,,,,,
jake o'brien,0,0,0,0,1208024,17-08-2024,0,,,,,,,,
jenson metcalfe,0,0,0,0,1208024,17-08-2024,0,,,,,,,,
harrison armstrong,0,0,0,0,1208024,17-08-2024,0,,,,,,,,
jesper lindstrøm,0,0,0,0,1208024,17-08-2024,0,,,,,,,,
neal maupay,0,0,0,0,1208024,17-08-2024,0,,,,,,,,
jason steele,0,0,7.3,90,1208024,17-08-2024,1,,,,,,,,
joël veltman,0,0,7.7,90,1208024,17-08-2024,1,,,,,,,,
jan paul van hecke,0,0,6.9,90,1208024,17-08-2024,0,,,,,,,,
lewis dunk,0,0,6.9,76,1208024,17-08-2024,0,,,,,,,,
jack hinshelwood,0,0,7,90,1208024,17-08-2024,1,,,,,,,,
james milner,0,0,7.2,82,1208024,17-08-2024,1,,,,,,,,
mats wieffer,0,1,7.2,90,1208024,17-08-2024,1,,,,,,,,
yankuba minteh,0,1,7.2,45,1208024,17-08-2024,1,,,,,,,,
joão pedro,0,0,7.2,82,1208024,17-08-2024,1,,,,,,,,
kaoru mitoma,1,0,7.2,89,1208024,17-08-2024,1,,,,,,,,
danny welbeck,1,1,8.3,90,1208024,17-08-2024,1,,,,,,,,
simon adingra,1,0,7.3,45,1208024,17-08-2024,1,,,,,,,,
adam webster,0,0,6.9,14,1208024,17-08-2024,0,,,,,,,,
billy gilmour,0,0,6.7,8,1208024,17-08-2024,0,,,,,,,,
jeremy sarmiento,0,0,6.3,8,1208024,17-08-2024,0,,,,,,,,
yasin ayari,0,0,6.3,12,1208024,17-08-2024,0,,,,,,,,
carl rushworth,0,0,0,0,1208024,17-08-2024,0,,,,,,,,
valentín barco,0,0,0,0,1208024,17-08-2024,0,,,,,,,,
carlos baleba,0,0,0,0,1208024,17-08-2024,0,,,,,,,,
mark o'mahony,0,0,0,0,1208024,17-08-2024,0,,,,,,,,
matz sels,0,0,7.2,90,1208026,17-08-2024,1,,,,,,,,
neco williams,0,0,7.2,90,1208026,17-08-2024,1,,,,,,,,
willy boly,0,0,7.3,90,1208026,17-08-2024,1,,,,,,,,
murillo,0,0,6.9,90,1208026,17-08-2024,0,,,,,,,,
ola aina,0,0,6.9,54,1208026,17-08-2024,0,,,,,,,,
ibrahim sangaré,0,0,7.2,90,1208026,17-08-2024,1,,,,,,,,
danilo,0,0,6.2,15,1208026,17-08-2024,0,,,,,,,,
anthony elanga,0,0,7.2,54,1208026,17-08-2024,1,,,,,,,,
morgan gibbs-white,0,0,7.2,90,1208026,17-08-2024,1,,,,,,,,
callum hudson-odoi,0,0,7.2,72,1208026,17-08-2024,1,,,,,,,,
chris wood,1,0,7.3,72,1208026,17-08-2024,1,,,,,,,,
ryan yates,0,0,7.3,75,1208026,17-08-2024,1,,,,,,,,
harry toffolo,0,0,6.6,36,1208026,17-08-2024,0,,,,,,,,
nicolás domínguez,0,0,6.6,36,1208026,17-08-2024,0,,,,,,,,
elliot anderson,0,0,6.7,18,1208026,17-08-2024,0,,,,,,,,
taiwo awoniyi,0,0,6.9,18,1208026,17-08-2024,0,,,,,,,,
carlos miguel,0,0,0,0,1208026,17-08-2024,0,,,,,,,,
andrew omobamidele,0,0,0,0,1208026,17-08-2024,0,,,,,,,,
jota silva,0,0,0,0,1208026,17-08-2024,0,,,,,,,,
eric da silva moreira,0,0,0,0,1208026,17-08-2024,0,,,,,,,,
neto,0,0,8.2,90,1208026,17-08-2024,1,,,,,,,,
adam smith,0,0,6.7,63,1208026,17-08-2024,0,,,,,,,,
illia zabarnyi,0,0,7,90,1208026,17-08-2024,1,,,,,,,,
dean huijsen,0,0,7,90,1208026,17-08-2024,1,,,,,,,,
miloš kerkez,0,0,6.6,90,1208026,17-08-2024,0,,,,,,,,
alex scott,0,0,7.5,63,1208026,17-08-2024,1,,,,,,,,
lewis cook,0,0,7,84,1208026,17-08-2024,1,,,,,,,,
dango ouattara,0,0,6.5,69,1208026,17-08-2024,0,,,,,,,,
marcus tavernier,0,0,7.5,90,1208026,17-08-2024,1,,,,,,,,
luis sinisterra,0,0,6.3,64,1208026,17-08-2024,0,,,,,,,,
antoine semenyo,1,0,7.5,90,1208026,17-08-2024,1,,,,,,,,
julian araujo,0,0,6.7,27,1208026,17-08-2024,0,,,,,,,,
ryan christie,0,0,6.7,27,1208026,17-08-2024,0,,,,,,,,
justin kluivert,0,0,6.6,26,1208026,17-08-2024,0,,,,,,,,
daniel jebbison,0,0,6.7,21,1208026,17-08-2024,0,,,,,,,,
philip billing,0,0,6.5,12,1208026,17-08-2024,0,,,,,,,,
mark travers,0,0,0,0,1208026,17-08-2024,0,,,,,,,,
james hill,0,0,0,0,1208026,17-08-2024,0,,,,,,,,
hamed junior traorè,0,0,0,0,1208026,17-08-2024,0,,,,,,,,
jaidon anthony,0,0,0,0,1208026,17-08-2024,0,,,,,,,,
alphonse aréola,0,0,6.9,90,1208027,17-08-2024,0,,,,,,,,
vladimír coufal,0,0,6.7,85,1208027,17-08-2024,0,,,,,,,,
konstantinos mavropanos,0,0,6.9,90,1208027,17-08-2024,0,,,,,,,,
max kilman,0,0,7,90,1208027,17-08-2024,1,,,,,,,,
emerson palmieri,0,0,6.3,90,1208027,17-08-2024,0,,,,,,,,
guido rodríguez,0,0,6.9,85,1208027,17-08-2024,0,,,,,,,,
jarrod bowen,0,0,6.2,73,1208027,17-08-2024,0,,,,,,,,
tomáš souček,0,0,7.2,90,1208027,17-08-2024,1,,,,,,,,
lucas paquetá,1,0,6.9,74,1208027,17-08-2024,1,,,,,,,,
mohammed kudus,0,0,7,90,1208027,17-08-2024,1,,,,,,,,
michail antonio,0,0,6.7,73,1208027,17-08-2024,0,,,,,,,,
crysencio summerville,0,0,6.9,17,1208027,17-08-2024,0,,,,,,,,
niclas füllkrug,0,0,6.3,17,1208027,17-08-2024,0,,,,,,,,
james ward-prowse,0,0,6.3,16,1208027,17-08-2024,0,,,,,,,,
jean-clair todibo,0,0,6.3,13,1208027,17-08-2024,0,,,,,,,,
danny ings,0,0,6.3,13,1208027,17-08-2024,0,,,,,,,,
łukasz fabiański,0,0,0,0,1208027,17-08-2024,0,,,,,,,,
aaron wan-bissaka,0,0,0,0,1208027,17-08-2024,0,,,,,,,,
aaron cresswell,0,0,0,0,1208027,17-08-2024,0,,,,,,,,
andy irving,0,0,0,0,1208027,17-08-2024,0,,,,,,,,
emiliano martínez,0,0,7.2,90,1208027,17-08-2024,1,,,,,,,,
matty cash,0,0,6.9,82,1208027,17-08-2024,0,,,,,,,,
ezri konsa,0,0,7.2,90,1208027,17-08-2024,1,,,,,,,,
pau torres,0,0,7.2,90,1208027,17-08-2024,1,,,,,,,,
lucas digne,0,0,7.3,74,1208027,17-08-2024,1,,,,,,,,
amadou onana,1,0,7.6,90,1208027,17-08-2024,1,,,,,,,,
youri tielemans,0,1,7.5,90,1208027,17-08-2024,1,,,,,,,,
leon bailey,0,0,6.9,74,1208027,17-08-2024,0,,,,,,,,
morgan rogers,0,0,7.2,90,1208027,17-08-2024,1,,,,,,,,
john mcginn,0,0,6.9,62,1208027,17-08-2024,0,,,,,,,,
ollie watkins,0,0,6.3,62,1208027,17-08-2024,0,,,,,,,,
jacob ramsey,0,1,7.3,28,1208027,17-08-2024,1,,,,,,,,
jhon durán,1,0,7.3,28,1208027,17-08-2024,1,,,,,,,,
ian maatsen,0,0,7.2,16,1208027,17-08-2024,1,,,,,,,,
jaden philogene-bidace,0,0,6.9,16,1208027,17-08-2024,0,,,,,,,,
kosta nedeljković,0,0,6.9,8,1208027,17-08-2024,0,,,,,,,,
joe gauci,0,0,0,0,1208027,17-08-2024,0,,,,,,,,
diego carlos,0,0,0,0,1208027,17-08-2024,0,,,,,,,,
emiliano buendía,0,0,0,0,1208027,17-08-2024,0,,,,,,,,
ross barkley,0,0,0,0,1208027,17-08-2024,0,,,,,,,,
mark flekken,0,0,8.5,90,1208028,18-08-2024,1,,,,,,,,
mads roerslev,0,0,6.3,90,1208028,18-08-2024,0,,,,,,,,
nathan collins,0,0,7.2,90,1208028,18-08-2024,1,,,,,,,,
ethan pinnock,0,0,6.7,90,1208028,18-08-2024,0,,,,,,,,
kristoffer ajer,0,0,6.3,90,1208028,18-08-2024,0,,,,,,,,
christian nørgaard,0,0,7.3,90,1208028,18-08-2024,1,,,,,,,,
vitaly janelt,0,0,7.2,74,1208028,18-08-2024,1,,,,,,,,
mathias jensen,0,0,6.9,84,1208028,18-08-2024,0,,,,,,,,
bryan mbeumo,1,0,8,89,1208028,18-08-2024,1,,,,,,,,
yoane wissa,1,1,8.2,84,1208028,18-08-2024,1,,,,,,,,
kevin schade,0,0,6.5,74,1208028,18-08-2024,0,,,,,,,,
mikkel damsgaard,0,0,6.6,16,1208028,18-08-2024,0,,,,,,,,
keane lewis-potter,0,0,6.7,16,1208028,18-08-2024,0,,,,,,,,
frank onyeka,0,0,6.5,11,1208028,18-08-2024,0,,,,,,,,
fabio carvalho,0,0,6.7,11,1208028,18-08-2024,0,,,,,,,,
ben mee,0,0,0,1,1208028,18-08-2024,0,,,,,,,,
hákon rafn valdimarsson,0,0,0,0,1208028,18-08-2024,0,,,,,,,,
myles peart-harris,0,0,0,0,1208028,18-08-2024,0,,,,,,,,
yehor yarmoliuk,0,0,0,0,1208028,18-08-2024,0,,,,,,,,
ryan trevitt,0,0,0,0,1208028,18-08-2024,0,,,,,,,,
dean henderson,0,0,6.7,90,1208028,18-08-2024,0,,,,,,,,
chris richards,0,0,6.3,84,1208028,18-08-2024,0,,,,,,,,
joachim andersen,0,0,6.5,90,1208028,18-08-2024,0,,,,,,,,
marc guéhi,0,0,6.9,90,1208028,18-08-2024,0,,,,,,,,
daniel muñoz,0,0,6.9,90,1208028,18-08-2024,0,,,,,,,,
adam wharton,0,0,7.3,74,1208028,18-08-2024,1,,,,,,,,
will hughes,0,0,7,84,1208028,18-08-2024,1,,,,,,,,
tyrick mitchell,0,0,6.5,90,1208028,18-08-2024,0,,,,,,,,
daichi kamada,0,0,6.9,70,1208028,18-08-2024,0,,,,,,,,
eberechi eze,0,0,7.3,90,1208028,18-08-2024,1,,,,,,,,
jean-philippe mateta,0,0,6.2,45,1208028,18-08-2024,0,,,,,,,,
odsonne édouard,0,0,6.7,45,1208028,18-08-2024,0,,,,,,,,
jordan ayew,0,0,6.2,20,1208028,18-08-2024,0,,,,,,,,
jefferson lerma,0,0,7.2,16,1208028,18-08-2024,1,,,,,,,,
cheick doucouré,0,0,6.7,11,1208028,18-08-2024,0,,,,,,,,
ismaïla sarr,0,0,6.3,11,1208028,18-08-2024,0,,,,,,,,
sam johnstone,0,0,0,0,1208028,18-08-2024,0,,,,,,,,
nathaniel clyne,0,0,0,0,1208028,18-08-2024,0,,,,,,,,
chadi riad,0,0,0,0,1208028,18-08-2024,0,,,,,,,,
jeffrey schlupp,0,0,0,0,1208028,18-08-2024,0,,,,,,,,
robert sánchez,0,0,6.9,90,1208029,18-08-2024,0,,,,,,,,
malo gusto,0,0,6.2,90,1208029,18-08-2024,0,,,,,,,,
wesley fofana,0,0,6.3,90,1208029,18-08-2024,0,,,,,,,,
levi colwill,0,0,6.9,90,1208029,18-08-2024,0,,,,,,,,
marc cucurella,0,0,7,80,1208029,18-08-2024,1,,,,,,,,
moisés caicedo,0,0,6.9,90,1208029,18-08-2024,0,,,,,,,,
roméo lavia,0,0,7.2,66,1208029,18-08-2024,1,,,,,,,,
cole palmer,0,0,6.9,90,1208029,18-08-2024,0,,,,,,,,
enzo fernández,0,0,7.3,90,1208029,18-08-2024,1,,,,,,,,
christopher nkunku,0,0,6.9,58,1208029,18-08-2024,0,,,,,,,,
nicolas jackson,0,0,6.3,66,1208029,18-08-2024,0,,,,,,,,
pedro neto,0,0,6.9,32,1208029,18-08-2024,0,,,,,,,,
kiernan dewsbury-hall,0,0,6.7,24,1208029,18-08-2024,0,,,,,,,,
marc guiu,0,0,6.2,24,1208029,18-08-2024,0,,,,,,,,
renato veiga,0,0,6.5,10,1208029,18-08-2024,0,,,,,,,,
filip jørgensen,0,0,0,0,1208029,18-08-2024,0,,,,,,,,
tosin adarabioyo,0,0,0,0,1208029,18-08-2024,0,,,,,,,,
benoît badiashile,0,0,0,0,1208029,18-08-2024,0,,,,,,,,
mykhaylo mudryk,0,0,0,0,1208029,18-08-2024,0,,,,,,,,
noni madueke,0,0,0,0,1208029,18-08-2024,0,,,,,,,,
ederson,0,0,7.2,90,1208029,18-08-2024,1,,,,,,,,
manuel akanji,0,0,7.3,90,1208029,18-08-2024,1,,,,,,,,
rúben dias,0,0,7.3,90,1208029,18-08-2024,1,,,,,,,,
joško gvardiol,0,0,7.7,90,1208029,18-08-2024,1,,,,,,,,
